,Architecture,Sparsity,Sample Size,Precision,Accuracy,Recall
0,ResNet18,90,10000,0.9362992922143579,0.9425403225806451,0.9477993858751279
1,ResNet18,90,20000,0.9581653225806451,0.9442351168048229,0.9318627450980392
2,ResNet18,90,30000,0.956159728122345,0.9429575108732018,0.9299289373657247
3,ResNet18,90,40000,0.9571715649334338,0.9444479277697662,0.9332598579475876
4,ResNet18,90,50000,0.9575499703146646,0.9443413729128015,0.934253716933771
5,ResNet18,0,10000,0.9565217391304348,0.9478326612903226,0.9398907103825137
6,ResNet18,0,20000,0.9644657258064516,0.95528761617684,0.9468085106382979
7,ResNet18,0,30000,0.9629566694987256,0.9523251923720307,0.9415185246718724
8,ResNet18,0,40000,0.9629490077869882,0.9534767070035739,0.9449100320433819
9,ResNet18,0,50000,0.9606174549772413,0.952314095171238,0.9461066172887633
10,ResNet18,80,10000,0.9499494438827099,0.9445564516129032,0.9395
11,ResNet18,80,20000,0.9616935483870968,0.9469982416478272,0.933920704845815
12,ResNet18,80,30000,0.9607476635514018,0.9472231515557042,0.9339279814998348
13,ResNet18,80,40000,0.9595579000251193,0.9472694212803311,0.9363892633901213
14,ResNet18,80,50000,0.9657629131209182,0.9505089505089505,0.9383713104509182
15,ResNet18,50,10000,0.9691607684529828,0.9523689516129032,0.9374083129584352
16,ResNet18,50,20000,0.9601814516129032,0.9485054006531022,0.9379615952732644
17,ResNet18,50,30000,0.9656754460492778,0.9528270324523251,0.9401157981803143
18,ResNet18,50,40000,0.9657121326299924,0.9511568123393316,0.938255033557047
19,ResNet18,50,50000,0.9682366910746092,0.9542696685553829,0.943041634541249
20,ResNet50,90,10000,0.961071789686552,0.9576612903225806,0.9543172690763052
21,ResNet50,90,20000,0.9720262096774194,0.9559155990957046,0.9414205516231389
22,ResNet50,90,30000,0.9683942225998301,0.9565071930411508,0.9446378252942151
23,ResNet50,90,40000,0.9727455413212761,0.9578029970531068,0.9443970247530789
24,ResNet50,90,50000,0.9766475361171582,0.9619916762773906,0.9497690531177829
25,ResNet50,0,10000,0.9721941354903944,0.9611895161290323,0.9510385756676558
26,ResNet50,0,20000,0.9780745967741935,0.9637025872896258,0.9505265735978448
27,ResNet50,0,30000,0.9731520815632965,0.9628638340582134,0.9524363878263762
28,ResNet50,0,40000,0.975885455915599,0.9610006896984137,0.947560975609756
29,ResNet50,0,50000,0.9748664159905007,0.9600361028932457,0.9477633477633478
30,ResNet50,80,10000,0.9696663296258847,0.9576612903225806,0.9466929911154985
31,ResNet50,80,20000,0.9750504032258065,0.9621954282843507,0.9503807418324736
32,ResNet50,80,30000,0.9770603228547153,0.9597691535630646,0.943241469816273
33,ResNet50,80,40000,0.9794021602612409,0.9634459840742366,0.949008153827431
34,ResNet50,80,50000,0.9776370472986344,0.9654515368801083,0.9552354249250701
